Date ,Open,High,Low,Close,Volume
14-Sep-10,883,899,880.3,895.35,"15,35,519"
15-Sep-10,900,919.4,899,914.8,"27,80,197"
16-Sep-10,908,913.45,864.5,895.4,"11,67,132"
17-Sep-10,900.1,918.75,900.1,913.8,"15,03,989"
20-Sep-10,917,921.9,906.7,912.25,"12,09,554"
21-Sep-10,912,958,910.3,953.95,"24,98,592"
22-Sep-10,956,960,930,935.25,"20,15,533"
23-Sep-10,940,945.3,927.8,931.35,"16,63,618"
24-Sep-10,933.1,937.9,925,931.95,"13,69,392"
27-Sep-10,935,941.45,922,927.6,"17,11,645"
28-Sep-10,925.25,930.3,914.1,919.65,"12,60,857"
29-Sep-10,925,937.25,914.9,920.35,"16,85,097"
30-Sep-10,925,930,915.15,926.95,"37,80,462"
01-Oct-10,927,966,922,961.6,"16,63,078"
04-Oct-10,966.75,975,953,955.8,"10,70,478"
05-Oct-10,950,965.95,946.15,950.25,"11,05,832"
06-Oct-10,950,967.9,950,959.65,"9,19,480"
07-Oct-10,960,966,938.4,948.8,"9,86,470"
08-Oct-10,944.05,954.7,869,942.6,"13,47,998"
11-Oct-10,942.6,953.95,929.05,940.9,"15,32,685"
12-Oct-10,942.65,955.8,939.1,950.7,"13,04,451"
13-Oct-10,955.95,997.7,949.1,992.85,"26,75,302"
14-Oct-10,996.9,"1,004.00",982.35,986.05,"14,74,543"
15-Oct-10,999,"1,011.00",945,950.3,"28,58,899"
18-Oct-10,970,984,930,981.25,"22,40,367"
19-Oct-10,982,987.4,964.1,967.75,"11,00,456"
20-Oct-10,964.5,980.5,956.2,963.25,"11,03,319"
21-Oct-10,974.05,993.85,970,986.2,"18,76,177"
22-Oct-10,"1,022.00","1,049.40","1,022.00","1,040.20","48,05,202"
25-Oct-10,"1,043.00","1,072.95","1,037.20","1,066.95","25,78,158"
26-Oct-10,"1,063.50","1,067.75","1,041.55","1,062.60","17,53,512"
27-Oct-10,"1,060.00","1,066.80","1,043.55","1,048.20","10,70,691"
28-Oct-10,"1,050.00","1,067.55","1,040.00","1,052.90","26,27,845"
29-Oct-10,"1,060.00","1,060.00","1,031.00","1,052.90","11,06,199"
